Hegycsúcs neve; Hegység; Magasság;
Név: Tölgyes-bérc Hegység: Mátra Magasság: 799
Név: Vadkert-tető Hegység: Mátra Magasság: 834
Név: Vargai-Kurta-bérc (1) Hegység: Bükk-vidék Magasság: 821
Név: Vargai-Kurta-bérc (2) Hegység: Bükk-vidék Magasság: 819
Név: Varsa-tető Hegység: Börzsöny Magasság: 871
Név: Veres-Sár-bérc Hegység: Bükk-vidék Magasság: 912
Név: Virágos-sár (2) Hegység: Bükk-vidék Magasság: 950
Név: Virágos-Sár-hegy Hegység: Bükk-vidék Magasság: 955
Név: Zsérci-Nagy-Dél (1) Hegység: Bükk-vidék Magasság: 879
Név: Zsérci-Nagy-Dél (2) Hegység: Bükk-vidék Magasság: 877
Név: Zsérci-Nagy-Dél (3) Hegység: Bükk-vidék Magasság: 859
Név: Zsérci-Nagy-Dél (4) Hegység: Bükk-vidék Magasság: 850
